Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,Date
131263,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Borough,2,Brooklyn,2005-2007,01/01/2005,55.5,,2005-01-01
130380,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,308,Greenwich Village - SoHo,2005-2007,01/01/2005,45.4,,2005-01-01
130390,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,408,Jamaica,2005-2007,01/01/2005,58.2,,2005-01-01
154485,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,CD,402,Woodside and Sunnyside (CD2),2005,01/01/2005,5.029655,,2005-01-01
131062,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,408,Jamaica,2005-2007,01/01/2005,103.9,,2005-01-01
131158,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,408,Jamaica,2005-2007,01/01/2005,23.4,,2005-01-01
154598,643,Annual vehicle miles traveled,Million miles,per square mile,CD,315,Sheepshead Bay (CD15),2005,01/01/2005,42.865708,,2005-01-01
130361,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,107,Hunts Point - Mott Haven,2005-2007,01/01/2005,71.0,,2005-01-01
154614,643,Annual vehicle miles traveled,Million miles,per square mile,CD,413,Queens Village (CD13),2005,01/01/2005,59.429215,,2005-01-01
131224,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,106,High Bridge - Morrisania,2005-2007,01/01/2005,193.7,,2005-01-01
131147,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,307,Gramercy Park - Murray Hill,2005-2007,01/01/2005,9.1,,2005-01-01
131041,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,208,Canarsie - Flatlands,2005-2007,01/01/2005,79.4,,2005-01-01
131040,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,207,East Flatbush - Flatbush,2005-2007,01/01/2005,93.5,,2005-01-01
151749,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,UHF42,403,Flushing - Clearview,2005,01/01/2005,2.044089,,2005-01-01
151759,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,UHF42,503,Willowbrook,2005,01/01/2005,1.392679,,2005-01-01
131051,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,307,Gramercy Park - Murray Hill,2005-2007,01/01/2005,42.4,,2005-01-01
151730,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,UHF42,205,Sunset Park,2005,01/01/2005,3.374646,,2005-01-01
130782,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",Borough,1,Bronx,2005-2007,01/01/2005,76.5,,2005-01-01
130371,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,210,Coney Island - Sheepshead Bay,2005-2007,01/01/2005,83.3,,2005-01-01
130372,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,211,Williamsburg - Bushwick,2005-2007,01/01/2005,72.2,,2005-01-01
130906,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,306,Chelsea - Clinton,2005-2007,01/01/2005,13.5,,2005-01-01
130376,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,304,Upper West Side,2005-2007,01/01/2005,59.5,,2005-01-01
131222,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,104,Pelham - Throgs Neck,2005-2007,01/01/2005,79.7,,2005-01-01
131266,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Borough,5,Staten Island,2005-2007,01/01/2005,29.6,,2005-01-01
